a,b,c,alpha,beta,gamma,structure type,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17
7.419,7.419,7.419,90.0,90.0,90.0,cubic,0.6191579891166029,0.74799056246607,-1.0,26.0,28.0,0.0,3.7095000743865967,1.536525011062622,0.0,18.914813264971144,8.130526125004934,0.0,5.833178815804641,1.555040357611252,0.0,0.0,0.0,0.0
8.334,8.334,8.334,90.0,90.0,90.0,cubic,0.6057697997220886,0.728960253111955,-1.0,26.0,28.0,0.0,4.166999816894531,1.7260279655456543,0.0,21.247613379482775,9.133281505553125,0.0,6.944923012894106,1.8514157574459307,0.0,0.0,0.0,0.0
7.438,7.438,7.438,90.0,90.0,90.0,cubic,0.6188571863047768,0.7475613245930645,-1.0,26.0,28.0,0.0,3.7190001010894775,1.5404603481292725,0.0,18.963254086508787,8.151349971412076,0.0,5.855601305873811,1.5610183188731,0.0,0.0,0.0,0.0
5.789,5.789,5.789,90.0,90.0,90.0,cubic,0.6497925964852166,0.7921013960134163,-1.0,26.0,28.0,0.0,2.8945000171661377,1.1989409923553467,0.0,14.759112069624786,6.34419940482648,0.0,4.020615554191227,1.0718374506754842,0.0,0.0,0.0,0.0
8.786,8.786,8.786,90.0,90.0,90.0,cubic,0.5998790096980384,0.720633950395148,-1.0,26.0,28.0,0.0,4.39300012588501,1.8196401596069336,0.0,22.399993365103224,9.628630675891651,0.0,7.5175103947123105,2.0040589094006105,0.0,0.0,0.0,0.0
3.004,3.004,3.004,90.0,90.0,90.0,cubic,0.747605712646217,0.9384440697064598,-1.0,26.0,28.0,0.0,1.5019999742507935,0.622148871421814,0.0,7.658727178120656,3.2921023844832393,0.0,1.5029242832739853,0.4006578813678844,0.0,0.0,0.0,0.0
8.1,8.1,8.1,90.0,90.0,90.0,cubic,0.6089944867114808,0.7335303504595209,-1.0,26.0,28.0,0.0,4.050000190734863,1.6775646209716797,0.0,20.65103000261157,8.87683759066279,0.0,6.654490037664627,1.7739897307323216,0.0,0.0,0.0,0.0
8.507,8.507,8.507,90.0,90.0,90.0,cubic,0.6034645404435761,0.725698487445423,-1.0,26.0,28.0,0.0,4.253499984741211,1.761857509613037,0.0,21.688679423262048,9.322873631935375,0.0,7.162289431822934,1.909362490392947,0.0,0.0,0.0,0.0
5.114,5.114,5.114,90.0,90.0,90.0,cubic,0.6662667307086602,0.8161540915683404,-1.0,26.0,28.0,0.0,2.556999921798706,1.0591442584991455,0.0,13.038192497506827,5.604464621061296,0.0,3.338322471348173,0.8899485261681586,0.0,0.0,0.0,0.0
6.129,6.129,6.129,90.0,90.0,90.0,cubic,0.6424796271870674,0.7814990516883785,-1.0,26.0,28.0,0.0,3.064500093460083,1.269357442855835,0.0,15.625945775959876,6.716808237290843,0.0,4.379975408183539,1.1676377152958823,0.0,0.0,0.0,0.0
6.444,6.444,6.444,90.0,90.0,90.0,cubic,0.6361921608281024,0.7724199087419356,-1.0,26.0,28.0,0.0,3.2219998836517334,1.3345963954925537,0.0,16.429040279533872,7.062020326233002,0.0,4.721940325835992,1.2588011617922616,0.0,0.0,0.0,0.0
8.339,8.339,8.339,90.0,90.0,90.0,cubic,0.6057022538087657,0.7288646062157982,-1.0,26.0,28.0,0.0,4.16949987411499,1.7270636558532715,0.0,21.260361220034994,9.138761863531595,0.0,6.951174024299344,1.8530823998839185,0.0,0.0,0.0,0.0
8.928,8.928,8.928,90.0,90.0,90.0,cubic,0.5981133994475217,0.7181439341086816,-1.0,26.0,28.0,0.0,4.464000225067139,1.8490490913391113,0.0,22.762024256299924,9.784248115266488,0.0,7.700492912233494,2.052838935120458,0.0,0.0,0.0,0.0
6.945,6.945,6.945,90.0,90.0,90.0,cubic,0.6270250598792081,0.7592426914480476,-1.0,26.0,28.0,0.0,3.4725000858306885,1.438356637954712,0.0,17.7063456986033,7.611067921294271,0.0,5.283182480633648,1.4084196856578468,0.0,0.0,0.0,0.0
3.854,3.854,3.854,90.0,90.0,90.0,cubic,0.7071737253533972,0.8769092328038356,-1.0,26.0,28.0,0.0,1.9270000457763672,0.7981894016265869,0.0,9.825810836107886,4.223621311662807,0.0,2.184010898272848,0.5822254015703828,0.0,0.0,0.0,0.0
5.056,5.056,5.056,90.0,90.0,90.0,cubic,0.6678244360656622,0.818440637109662,-1.0,26.0,28.0,0.0,2.5280001163482666,1.0471317768096924,0.0,12.890321923624642,5.540900542703276,0.0,3.2816922249780567,0.874851261513545,0.0,0.0,0.0,0.0
7.245,7.245,7.245,90.0,90.0,90.0,cubic,0.6219630996803168,0.7519966795551853,-1.0,26.0,28.0,0.0,3.622499942779541,1.5004887580871582,0.0,18.471197896221625,7.939840197893556,0.0,5.629175575661567,1.500656634687663,0.0,0.0,0.0,0.0
5.205,5.205,5.205,90.0,90.0,90.0,cubic,0.6638722347349296,0.8126434955902956,-1.0,26.0,28.0,0.0,2.6024999618530273,1.0779907703399658,0.0,13.270198089613064,5.704190987884985,0.0,3.4278223919643778,0.9138076247001532,0.0,0.0,0.0,0.0
7.485,7.485,7.485,90.0,90.0,90.0,cubic,0.6181176318993239,0.7465064358675898,-1.0,26.0,28.0,0.0,3.742500066757202,1.5501940250396729,0.0,19.083080870017273,8.202855748306419,0.0,5.911190272373081,1.5758370303551659,0.0,0.0,0.0,0.0
