Si,813.25
B,724.3
Ge,644.5
Zr,544.88
Mo,532.65
Se,455.75
Cu,448.0
Be,437.0
Al,414.95
Rh,412.5
Sn,403.8
Nb,380.45
Ti,347.51000000000005
C,345.5
Ru,341.24999999999994
La,333.85
Pd,326.95
Ir,314.25
Sb,306.0
Ni,302.8
Ga,290.4
S,280.75
P,277.0
Y,233.25
V,233.2
Ba,206.5
Pt,202.45
Re,202.35
Co,197.5
As,196.75
Sr,190.9
Fe,186.25
Te,174.75
Bi,155.7
In,148.75
Pb,148.6
Th,139.7
Os,135.25
Ta,122.55
Ca,122.5
Au,108.45
U,106.0
Ce,103.5
Sc,93.25
Hf,90.55
Lu,90.0
Mg,82.55
Ag,68.05
W,66.19999999999999
Cr,65.25
Zn,65.0
Tl,65.0
Hg,56.2
Yb,53.0
Pr,50.0
Ho,47.5
N,47.0
Er,46.3
Nd,46.0
Cd,42.25
Dy,39.75
K,37.6
Tb,34.7
Tm,33.0
H,32.5
Li,32.5
Na,30.900000000000002
Sm,29.5
Gd,22.5
Mn,17.0
Br,16.5
Eu,15.0
Cl,15.0
I,14.5
Tc,13.75
F,9.7
Rb,8.0
Cs,6.0
Np,3.0
Pu,2.0
Pa,1.0
